driver_id,applicant_fountain_id,pu_ca,predicted_driver_ca,no_packages
487439,305cb3b1-a825-4360-aef4-74d92763fdb5,,Manchester City,11
473349,7c381cd9-9709-40cf-a412-abb29958ba9e,London Inner E,London Outer S,2
367360,2f688ad3-7f0d-415b-aad8-7fdf8e47e73d,,,19
337809,7bcd2b16-d46c-45b7-8c8a-53c5d1a433ef,London Inner N,,174
489575,5f8db309-61f3-4bb7-af89-28eec96f88c4,London Outer SW,London Inner S,18
417652,068c905e-c677-4d65-9d34-7e609ab6a509,London Outer Upper NW,,17
369939,78a2bacb-f075-481c-b31a-95539045d0cd,London Outer NE,,257
356234,9a03114c-557e-4093-90bb-0a0a21d24f10,London Inner Lower NW,,1
338085,4f0ec9fb-c096-476c-8345-c02637b2ac55,London Outer NE,,271
479688,a099dea3-af39-4269-8a91-3d1d2b5a5390,Manchester City,Manchester City,288
490488,0f8de41a-9a93-4b64-812d-dd50b7c2ac7f,Wolverhampton,Wolverhampton,21
387712,122ec49a-4d65-4352-9adf-c3b5672b1401,London Inner N,,60
410529,743589ac-46cf-4e06-aab8-f58fc26f231f,Newcastle,Newcastle,116
411296,9b8fe68c-c939-4afd-bc2e-7a6ed7970751,Manchester City,Manchester City,703
382897,f03f8217-1e47-46aa-a00f-247d24d32685,London Border N,London Border NE,9
409045,e91f869d-7063-4fd2-af83-7594d53de7b7,London Outer Upper NW,,10
370770,fa98e61f-761f-4407-becb-4e28c3504b8e,London Border W,,41
365984,b4047180-7568-4de6-8ed6-d1069f95c205,Manchester City,Manchester City,863
411696,db72abfb-9cfe-4ac2-a9b1-32338cb546ce,London Inner Upper NW,,1
366647,1bad3e02-3447-4526-91b9-15106df4c481,,,1
366654,11e480f8-e009-41da-9031-4913d29c9f69,,,1
363891,05acbc48-9877-40a6-b372-a2fb865aeba4,London Outer NE,,1
486519,6a9d2df6-3a51-4dac-bf8a-6cf34bce0a3f,Wolverhampton,,370
475806,46eaf4dd-2179-45b0-863c-a93669f3d2eb,Derby,Derby,7
480491,742da7e8-daab-4f98-a953-fb46d84e9290,Leeds City,Outer Leeds,4
362068,b758eef9-b192-4998-85e8-bde1dcc74251,London Outer Upper NW,,18
405608,f357e634-efd5-4213-b683-7ca8c48f078a,London Outer N,,64
398606,91a77032-0a08-4b2a-8557-fe49cb3592bc,London Inner E,London Inner E,157
340202,6b5a6891-1f41-41ac-8b48-da27649da281,London Outer S,,152
399835,af1bc24c-a268-4fca-b606-8cefb5458103,Huddersfield,,445
370765,fd98c725-9297-4145-8da5-530aa5289f0b,London Outer NE,,2783
367174,4dc718e6-2aad-4d93-ac38-91174a6356da,Leeds South,,1524
362346,0953a1a9-7ab5-44fc-8d8e-d1bb38fc5f9d,London Inner S,,2371
363367,589f4e4b-0000-44fa-959c-10b95f7958fa,Manchester East,,4214
370565,d2527404-b66d-456a-8d47-dee6fd0cf2ef,London Outer Upper NW,,3255
400117,b2d323cf-5a1f-4fd6-b0f5-432b084fa5ff,London Outer E,,1226
399789,7fc32a32-157d-4904-b8a7-83c11cbd3f69,Blackpool South,,3708
339529,9be2250d-f650-4cef-b91b-9e23a5399031,Bournemouth,,3193
387612,844aec54-b472-4121-9476-4b60a791468b,London Outer NE,,4553
391305,1f32282e-2f97-4d57-9e3a-d57a7fc758e5,Cardiff,,3588
394140,ebf8510f-9d46-48f3-b905-8ac20ac89180,Cardiff,,4072
371403,98e1fa1d-f6e5-470f-8098-455602ee5427,Derby,,2815
398846,1092a744-ef80-4a27-925c-62a4dc2ee994,Bristol Central Area,,743
366533,136f31eb-0df4-4ba4-b016-5ba26b2f23ca,Leicester,,2425
390866,f18fb1a3-5b7d-4bde-b1af-4f19b6e8b13e,Teesside,Teesside,1596
370636,f3a39035-2f86-4f52-ac20-ab2af51f895f,Wolverhampton,,1279
369833,6000768e-5dfb-41bd-b899-4cc2f8159e4b,Sheffield,,4832
346420,af79e782-f410-49dd-aed4-99e300424b62,Bournemouth,,2103
362609,58363a6b-e382-4444-b52a-269229ab4921,Stourbridge,,3666
344451,4eeee52d-7f3f-42da-8ad5-127436cab793,Swansea,,319
350493,84203e2e-560b-4357-9d9a-1b6ccaf9bfda,London Outer NE,,3327
399344,327c27fd-3f8b-49ae-9ed6-39e3963afa80,London Outer SW,,2090
387533,7eba1aa8-81fd-482e-9670-74c65cad8743,London Outer N,London Outer N,638
366623,add9e312-a926-4ee5-88e0-312110aaae7f,Nottingham Central,,3238
393277,8ab8631b-fb2d-4fcf-a63d-1050e0a98786,London Outer E,,2511
366490,278c52e7-b0b9-4569-b1c9-146213959102,Leeds City,,42
354994,250381fe-3797-4d09-b01a-3ebd6133e823,London Inner E,London Inner S,810
382563,7ed8f755-3e6a-40c8-bfb5-e7466a33af6a,Teesside,,2382
386044,af3bb14b-8760-42de-906b-8fb99fca13e1,Birmingham North,Hull,525
392682,51c71c1e-8e1e-4f0e-8869-eb0301a66974,Blackpool South,,5926
346046,52f29a85-9304-4dfe-87d8-badac30c75ca,London Inner Lower NW,London Inner Lower NW,171
396253,81675e13-1b73-4499-aca5-28d023b5c2f7,Newcastle,,2044
358179,1b9612e2-9416-4c7a-9647-cc36ae5f5b58,London Outer NE,,4320
350409,c2b1de7c-101f-4548-8243-e224c991af98,London Border NE,,1748
391514,f9c26b5d-3c80-4e24-872d-57f85e4db7ee,Liverpool East,Liverpool East,495
399869,2e32e09f-d52a-4571-beaa-b0c36f91eef8,London Outer N,,1744
390132,5ca9333a-24d3-4387-9f80-e04463d245b1,London Outer N,,2668
401235,96409982-631c-4757-bd41-5170b80036d0,London Outer SW,,10
347847,9409d93b-ba19-4b66-a596-577867b1c624,London Outer Upper NW,,1738
367777,13799d12-9ca8-4657-b5f3-8453692c4d8b,London Outer N,,3651
344402,925472d6-f677-4f0c-a965-465bff250e35,Leeds East,,1913
382890,3ae66a58-6b7e-4aa7-ad55-dfc8d8fde71f,London Inner Upper NW,,287
356273,8a2df666-fc47-4ab0-811e-7898138538b2,Milton Keynes,,4151
368726,36f8a062-8614-4730-95a3-bab4e7d9b6ec,Chesterfield,,2694
397232,e8fb8d2d-31a1-4048-be48-053c2cb8a7f6,London Border N,,4044
366652,109d7707-6c65-4e03-8c6b-a26b4b0e7053,Stockport,,3969
393080,5f2860d2-4eeb-4994-966c-8bcbadb9866b,Manchester City,,66
341722,3c56e777-32d0-4d88-9710-9168d1b7dff3,London Inner N,London Inner N,1135
383569,6e4af22b-a730-4baf-b785-1491f2ecb0e0,Oldham,,2061
377927,e0a6b1d2-bafa-4e8d-81b3-fad8744226b6,London Outer E,,3063
396291,320ddce4-d441-4704-a11b-c2fe3c34f60d,London Outer E,,633
382862,979a1e99-4b7b-4e4c-aa84-4c97aefaf9c8,London Border N,,2725
358266,4022c5b7-c088-452b-ab52-d007f39a5328,Sunderland,,5122
377785,854644e8-1d0e-4432-aed6-d253a4f3f20d,London Outer NE,,597
400317,ff337d2f-4d83-4b65-a23a-74b321560b24,London Outer Lower NW,,1706
365719,2ac6d8c9-980b-4213-bf06-314cce218815,London Outer N,,2597
355004,a94159d1-00e9-450b-8e76-d570b76d635a,Liverpool East,,125
385246,ab26ac45-b768-4cb8-b49c-7a71336bbe9c,London Outer S,,155
361912,e17e46f8-5d4d-48b9-95f6-c56cf122a153,Swansea,,2613
391502,a1ac420a-8d77-40d8-b104-2003d93bafc1,London Outer SW,,1018
359495,4a20efb7-c6cf-4b24-9dbe-d0b42143643f,London Outer Upper NW,,1973
366692,cb8eb367-1550-47e4-bae6-fbd16597f442,London Inner Upper NW,,1160
382459,a892c798-0ec4-447b-b5de-e1375f358c71,Swansea,,2529
391408,d9e47296-a183-43cc-9f67-ded00fa4045d,London Inner Lower NW,,1429
346887,cca59742-603c-468f-af24-9aa1f5a297c5,London Inner Upper NW,,3641
398165,4c3a13f1-fc2e-426f-865b-2d7953c08b2d,Manchester City,,1268
377771,407ced19-85d1-46ec-95e1-7718ccf92ce3,London Outer Upper NW,,3912
370663,e9197360-648b-4db8-ab1d-f95bb748d8bd,London Border W,,147
366636,f8d8aab7-fa1b-4108-9c8e-3bf40e096f68,St Helens,,2610
363560,47520ab3-3b4e-4752-8397-e969ddb76036,London Border N,,1994
374157,3c92b427-dddd-4bec-ab5c-9136fd0f0311,London Outer N,,3191
403599,c33dd1a0-932e-4d5f-834e-3d853ab3be28,Outer Leeds,,110
348207,99f60613-bc31-49ac-bc83-2c3d964a15ee,London Outer SE,,3228
346981,016ff2f0-1196-4444-885c-431e193c19ea,London Inner Upper NW,,671
367077,80f7944a-195e-4f50-902b-c9a8c8b7b1da,Hull,,3000
368292,9fc19f69-d3b2-4233-8c1c-b8d203d8ac3e,London Border NE,,252
367942,25c7212a-67f0-4d3f-be71-0fbdb795c10a,Liverpool North,Liverpool Central South,132
346044,58c7a3f8-4c62-4fd3-9e72-c4dbe7e001fa,London Outer S,,3451
337455,5ce983fb-330f-4737-a97b-1b5d67d221f3,London Inner Lower NW,,2652
367775,7427ee8f-7052-46ca-bff5-b06183b76859,London Border N,,1266
374272,a6bb0149-a754-42d9-8ee8-62be059a0fc7,London Inner S,,665
398656,09de45eb-0ec0-496a-ae47-98262593235c,Swansea,,1925
399460,cb4cc939-456e-4756-832e-0bf54dbc963c,London Border N,London Inner N,787
402581,59bd8c3b-9c99-4bb0-a6a7-2e45d5c5086e,London Outer SE,,1228
401634,e4587c3b-0fa5-489e-ac47-1493eac55d16,Oldham,,1689
358099,ea4c4e96-b548-44bc-acde-309e269adb6f,London Inner Upper NW,,1073
396342,db432b01-2a9b-4bad-a061-04b5f61c3d9b,Blackpool South,,1874
374140,6ff7ff26-4d68-4809-914d-3038ba48e595,London Outer SW,London Outer SW,2001
394460,ff83c5fd-0db1-4e39-8c8c-41c1ded060f7,London Inner S,,1292
